Pachastrella monilifera
Donacia dentata
Baetis niger
Lineus longissimus
Donacia impressa
Stenagostus rufus
Baetis rhodani
Folsomia agrelli
Folsomia alpha
Baetis scambus
Clathria barleei
Folsomia bisetosa
Folsomia bisetosella
Folsomia brevicauda
Baetis subalpinus
Volucella pellucens
Folsomia candida
Donacia obscura
Folsomia coeruleogrisea
Timoclea ovata
Folsomia diplophthalma
Folsomia dovrensis
Baetis vernus
Folsomia fimetaria
Salmo eriox
Kurtiella tumidula
Paranematus tulunensis
Paranematus wahlbergi
Folsomia lawrencei
Folsomia litsteri
Donacia simplex
Folsomia manolachei
Folsomia microchaeta
Folsomia norvegica
Folsomia palearctica
Stenus proditor
Meligethes carinulatus
Atheta ischnocera
Folsomia quadrioculata
Donacia versicolorea
Folsomia regularis
Coleophora prunifoliae
Folsomia sensibilis
Donacia vulgaris
Folsomia sexoculata
Folsomia spinosa
Folsomia stella
Folsomia thalassophila
Folsomides angularis
Buccinum groenlandicum
Folsomides marchicus
Folsomides parvulus
Sphaeridia pumilis
Merrifeldia baliodactylus
Ansates pellucida
Apamea crenata
Styela rustica
Motacilla flava
Linguadactyla molvae
Holothuria tremula
Sphaeridium bipustulatum
Nomada leucophthalma
Anser albifrons
Coleophora pyrrhulipennella
Polycope punctata
Hedya atropunctana
Sphaeridium lunatum
Salmo salar
Anser anser
Hedya dimidiana
Sphaeridium marginatum
Brachychaeteuma bradae
Hedya nubiferana
Cythereis concinna
Apterogenum ypsillon
Hedya ochroleucana
Anser brachyrhynchus
Hedya pruniana
Hedya salicella
Anser cygnoides
Asynarchus impar
Anser erythropus
Salmo trutta
Anser fabalis
Pilophorus cinnamopterus
Gnathonarium dentatum
Sphaeriestes bimaculatus
Pilophorus clavatus
Sphaeriestes castaneus
Sphaeriestes reyi
Sphaeriestes stockmanni
Anser indicus
Gnathoncus buyssoni
Volutopsius norwegicus
Anser rossii
Philonthus subuliformis
Digitivalva arnicella
Hesperocorixa castanea
Gnathoncus rotundatus
Digitivalva reticulella
Hesperocorixa linnaei
Hesperocorixa linnei
Pilophorus perplexus
Hesperocorixa sahlbergi
Leptopterna dolabrata
Populicerus laminatus
Leptopterna ferrugata
Endothenia ericetana
Atheta spatuloides
Deporaus betulae
Endothenia hebesana
Orthosia opima
Endothenia marginana
Endothenia oblongana
Chalcophora mariana
Endothenia quadrimaculana
Cacopsylla nigrita
Deporaus mannerheimii
Endothenia ustulana
Lampropteryx suffumata
Clathrina biscayae
Stygnocoris fuligineus
Corticarina obfuscata
Stygnocoris rusticus
Stygnocoris sabulosus
Clathrina coriacea
Echinus acutus
Zilora ferruginea
Diadocidia trispinosa
Cytheromorpha fuscata
Mecomma ambulans
Schizomavella auriculata
Mecomma dispar
Pholis gunellus
Pholis gunnellus
Stenaphorura denisi
Stenaphorura lubbocki
Stenaphorura quadrispina
Cytheropteron angulatum
Cytheropteron arcuatum
Cytheropteron carolinae
Cytheropteron crassipinatum
Schizomavella porifera
Cytheropteron hamatum
Meconema thalassina
Cytheropteron inflatum
Meconema thalassinum
Sphaerites glabratus
Cytheropteron paralatissimum
Cytheropteron pseudoinflatum
Depressaria albipunctella
Bagous lutosus
Cytheropteron sedovi
Cytheropteron simplex
Depressaria artemisiae
Depressaria badiella
Cytheropteron testudo
Cytheropteron vespertilio
Polycystis contorta
Pholoe assimilis
Ommatoiulus sabulosus
Depressaria daucella
Pholoe inornata
Depressaria depressana
Atheta trinotata
Pholoe pallida
Rheumaptera cervinalis
Clathrodictyon ex
Platysoma angustatum
Astropecten irregularis
Polycystis naegelii
Antalis agilis
Depressaria emeritella
Clathrodictyon linnarssoni
Corticarina similata
Rheumaptera hastata
Clathrodictyon variolare
Clathrodictyon vesiculosum
Antalis entalis
Clathrodictyon vesikulosum
Platysoma deplanatum
Depressaria leucocephala
Antalis occidentalis
Antalis striolatum
Platysoma lineare
Acossus terebra
Platysoma minus
Depressaria olerella
Rheumaptera subhastata
Antalis vulgaris
Loxostege commixtalis
Rheumaptera undulata
Catocala promissa
Depressaria pimpinellae
Loxostege ephippialis
Sorex araneus
Cytilus auricomus
Depressaria pulcherrimella
Tinagma dryadis
Cytilus sericeus
Triturus vulgaris
Depressaria radiella
Tinagma ocnerostomella
Pselaphaulax dresdensis
Tinagma perdicella
Depressaria silesiaca
Depressaria sordidatella
Anthocharis cardamines
Nephtys caeca
Loxostege sticticalis
Petaloproctus tenuis
Pselaphochernes dubius
Cyanapion afer
Epirrita autumnata
Leptorhoptrum robustum
Pselaphochernes scorpioides
Cyanapion gyllenhalii
Cyanapion spencii
Coleophora spinella
Endromis versicolora
Potosia cuprea
Stylaria lacustris
Volvulella acuminata
Chalcosyrphus piger
Chalcosyrphus valgus
Endrosis sarcitrella
Testudinalia testudinalis
Hylesinus crenatus
Polydesmus angustus
Pselaphus heisei
Clathrospira hyperboraea
Arthroplea congener
Cyanea capillata
Choreutinula inermis
Tinca tinca
Paranthrene tabaniformis
Ropalodontus perforatus
Ropalodontus strandi
Deraeocoris lutescens
Stylaster gemmascens
Dichrorampha petiverella
Choreutis diana
Polydesmus complanatus
Mecostethus grossus
Ectoedemia minimella
Aptus mirmicoides
Apamea monoglypha
Choreutis pariana
Dichrorampha plumbana
Polydesmus denticulatus
Linnavuoriana decempunctata
Calidris bairdii
Linnavuoriana sexmaculata
Talavera petrensis
Omocestus ventralis
Omocestus viridulus
Geina didactyla
Buteo buteo
Lozotaenia forsterana
Polydesmus inconstans
Morus bassanus
Brachyderes incanus
Voria ruralis
Pselnophorus heterodactyla
Tinea columbariella
Buteo lagopus
Vorkutopecten svalbardensis
Platystethus alutaceus
Ernobius nigrinus
Platystethus arenarius
Novocrania anomala
Platystethus nodifrons
Apus apus
Orobitis cyaneus
Ectoedemia subbimaculella
Mecynargus morulus
Mecynargus paetulus
Rhigognostis annulatella
Rhigognostis incarnatella
Rhigognostis kuusamoensis
Rhigognostis schmaltzella
Rhigognostis senilella
Apus glacialis
Paranura sexpunctata
Apus melba
Buteo rufinus
Pagellus bogaraveo
Elachista pomerana
Pagellus centrodontus
Brachydesmus superus
Paranychus albipes
Apus pallidus
Tullbergia bella
Pandora pinna
Tetratoma ancora
Tetratoma fungorum
Tullbergia simplex
Brachydiastylis resima
Antedon eschrichtii
Conger conger
Salpingus planirostris
Salpingus ruficollis
Platystomos albinus
Antedon petasus
Thracia phaseolina
Pseudoexechia aurivernica
Lekanesphaera rugicauda
Siphonodentalium lobatum
Coleophora trochilella
Tetrax tetrax
Tinea pallescentella
Apamea rubrirena
Paraonis gracilis
Tinea pellionella
Paragamasus lapponicus
Lynx lynx
Schizophyllum sabulosum
Siphonoecetes kroyeranus
Cyaniris semiargus
Tinea semifulvella
Aquarius najas
Chalinula limbata
Aquarius paludum
Cyanistes caeruleus
Polydora cauleryi
Polydora caulleryi
Polydora ciliata
Calidris ferruginea
Polydora cornuta
Polydora flava
Platysympus typicus
Buccinum undatum
Tinea svenssoni
Eupithecia lanceata
Eutheia linearis
Eothinia elongata
Omosita colon
Eutheia plicata
Omosita depressa
Stenichnus bicolor
Omosita discoidea
Tinea trinotella
Stenichnus collaris
Maehrenthalia intermedia
Doratura stylata
Pagophila eburnea
Stenichnus godarti
Pagophilus groenlandicus
Colias croceus
Coleophora versurella
Derephysia foliacea
Brachygeophilus truncorum
Stenichnus scutellaris
Pourtalesia jeffreysi
Dilacra luteipes
Ciliata septentrionalis
Platytes alpinella
Pseudonychocamptus koreni
Stenidiocerus poecilus
Tineola bisselliella
Aquila chrysaetos
Euthiconus conicicollis
Medetera abstrusa
Siphonoperla burmeisteri
Tetrix bipunctata
Aquila clanga
Maera loveni
Tetrix bipunctatus
Aquila heliaca
Medetera belgica
Medetera betulae
Medetera borealis
Colias hecla
Ixobrychus minutus
Omphalapion hookerorum
Omphalapion laevigatum
Aquila pennata
Aquila pomarina
Psetta maxima
Anotylus rugosus
Cordulegaster boltoni
Medetera excellens
Choristoneura albaniana
Brachygluta fossulata
Nucella lapillus
Medetera gracilicauda
Choristoneura diversana
Brachygluta helferi
Medetera impigra
Medetera infumata
Erichsonius cinerascens
Medetera jacula
Choristoneura hebenstreitella
Cordulia aenea
Brachygluta sinuata
Medetera melancholica
Tingis cardui
Anotylus tetracarinatus
Medetera nitida
Medetera obscura
Tallusia experta
Mecinus pyraster
Astychis biceps
Medetera pallipes
Colias nastes
Medetera pinicola
Tetrix subulata
Nucifraga caryocatactes
Medetera pseudoapicalis
Tetrix subulatus
Medetera setiventris
Medetera signaticornis
Talochlamys pusio
Tetrix undulata
Colias palaeno
Apamea zeta
Medetera tristis
Forcepia forcipis
Medetera vagans
Euthrix potatoria
Medetera velens
Rhincalanus nasutus
Labia minor
Polydrusus cervinus
Forcepia topsenti
Crex crex
Polydrusus flavipes
Pseudachorutella asigillata
Polydrusus fulvicornis
Motacilla alba
Pseudachorutes boerneri
Pediacus depressus
Pseudachorutes corticicola
Diastyloides biplicata
Pseudachorutes dubius
Siphonostoma vaginiferum
Pagurus bernhardus
Pseudachorutes parvulus
Polydrusus mollis
Pseudachorutes subcrassus
Sphaeroderma testaceum
Nedyus quadrimaculatus
Portunus arcuatus
Diastyloides serrata
Polydrusus pilosus
Motacilla cinerea
Euthyneura albipennis
Euthyneura gyllenhali
Pagurus cuanensis
Polydrusus ruficornis
Euthyneura myrtilli
Motacilla citreola
Colias tyche
Parapelecopsis nemoralis
Mesapamea didyma
Engraulis encrasicolus
Orophia ferrugella
Polydrusus undatus
Parhelophilus versicolor
Mesapamea secalella
Tetropium castaneum
Sphaerodoridium claparedii
Mesaphorura critica
Mesaphorura hylophila
Mesaphorura italica
Sphaerodoridium phillippi
Mesaphorura jirii
Mesaphorura krausbaueri
Mesaphorura macrochaeta
Hypatima rhomboidella
Mesaphorura petterdassi
Mesaphorura pongei
Mesaphorura sylvatica
Mesaphorura tenuisensillata
Mesaphorura yosii
Succinea putris
Tetropium fuscum
Hypatopa binotella
Hypatopa segnella
Sphaerodorum flavum
Sphaerodorum gracilis
Astyris rosacea
Diloba caeruleocephala
Pagurus prideaux
Rhingia borealis
Rhingia campestris
Pagurus pubescens
Bombylius major
Nuctenea umbratica
Cordyla brevicornis
Allygidius commutatus
Cordyla crassicornis
Cordyla fasciata
Cordyla fissa
Cordyla flaviceps
Cordyla fusca
Allygus communis
Cordyla murina
Allygus mixtus
Tetrops praeusta
Cordyla nitens
Cordyla parvipalpis
Tinodes waeneri
Cordyla pusilla
Tetrops praeustus
Labidostomis humeralis
Cordyla semiflava
Cordyla sixi
Tetrops starkii
Cribrella sanguinolenta
Gelechia cuneatella
Labidostomis tridentata
Helophorus glacialis
Salticus cingulatus
Gelechia hippophaella
Leanira tetragona
Asychis biceps
Gelechia muscosella
Gelechia nigra
Brachylomia viminalis
Amythasides macroglossus
Hypena crassalis
Neottiglossa pusilla
Gelechia rhombella
Paidiscura pallens
Gelechia sabinellus
Balaena mysticetus
Alnetoidia alneti
Gelechia sestertiella
Salticus scenicus
Gelechia sororculella
Eutomostethus ephippium
Eutomostethus luteiventris
Eutomostethus nigrans
Cerylon ferrugineum
Tinotus morion
Byblis gaimardi
Byblis gaimardii
Balaenoptera acutorostrata
Balaenoptera borealis
Nucula nitidosa
Nucula nucleus
Balaenoptera edeni
Gymnopternus aerosus
Balaenoptera musculus
Cordylepherus viridis
Gymnopternus chalybeus
Balaenoptera physalus
Heteranomia squamula
Balaenoptera rostrata
Plebeius idas
Plebeius optilete
Chorthippus albomarginatus
Cyanostolus aeneus
Gnophos obfuscata
Plebeius argus
Plebeius argyrognomon
Gymnopternus metallicus
Hypena proboscidalis
Stylodrilus heringianus
Plebeius glandon
Plebeius orbitulus
Hypena rostralis
Magdalis carbonaria
Byctiscus betulae
Enicmus fungicola
Enicmus histrio
Magdalis duplicata
Chorthippus biguttulus
Colladonus torneellus
Enicmus planipennis
Petricola pholadiformis
Echinorhynchus gadi
Enicmus rugosus
Magdalis frontalis
Nucula sulcata
Enicmus testaceus
Byctiscus populi
Plebejus aquilo
Asynarchus contumax
Plebejus argus
Asynarchus lapponicus
Chorthippus brunneus
Plebejus argyrognomon
Nucula tumidula
Bylgides elegans
Bylgides promamme
Magdalis ruficornis
Echinorhynchus ruber
Gnorimoschema epithymella
Pima boisduvaliella
Gnorimoschema herbichii
Magdalis violacea
Paraphanostoma brachyposthium
Paraphanostoma crassum
Paraphanostoma dubium
Paraphanostoma macroposthium
Paraphanostoma submaculatum
Vulpes lagopus
Sirex atricornis
Neovison vison
Tettigonia viridissima
Tettigonia viridissimus
Sirex juvencus
Gnorimoschema valesiella
Sirex noctilio
Plebejus idas
Salvelinus alpinus
Bucculatrix humiliella
Heterarthrus microcephalus
Vulpes vulpes
Heterarthrus ochropoda
Heterarthrus vagans
Dilta hibernica
Hypenodes humidalis
Lucinoma borealis
Nuculana bellottii
Homalota plana
Plebejus optilete
Plebejus orbitulus
Magelona minuta
Zeiraphera griseana
Lepidostoma hirtum
Magelona papillicornis
Zeiraphera isertana
Gnoriste longirostris
Zeiraphera ratzeburgiana
Phiaris micana
Zeiraphera rufimitrana
Chorthippus montanus
Byrrhus arietinus
Eutrichapion aethiops
Hypera arator
Gnosonesima brattstroemi
Eutrichapion facetum
Eutrichapion punctigerum
Eutrichapion scandinavicum
Eutrichapion viciae
Byrrhus fasciatus
Urticina eques
Chorthippus parallelus
Palaedocosia vittata
Gnypeta brincki
Gnypeta caerulea
Gnypeta carbonaria
Gnypeta coerulea
Hypera denominanda
Hypera diversipunctata
Helicigona lapicida
Phiaris schulziana
Gnypeta ripicola
Byrrhus pilula
Gnypeta sellmani
Nuculana minuta
Byrrhus pustulatus
Dorcatoma dresdensis
Dermestes ater
Dorcatoma flavicornis
Bucculatrix nigricomella
Schizotus pectinicornis
Heterhelus scutellaris
Dorcatoma punctulata
Dorcatoma robusta
Philocheras echinulatus
Nuculana pernula
Hypera meles
Cygnus olor
Sirocalodes depressicollis
Sirocalodes quercicola
Hypera nigrirostris
Dacne bipustulata
Dermestes gyllenhalii
Dermestes laniarius
Trichotropis borealis
Dermestes lardarius
Palaemon elegans
Hypera plantaginis
Hypera pollux
Hypera postica
Dermestes maculatus
Nuculana tenuis
Vallonia costata
Dermestes murinus
Chortodes elymi
Eupithecia plumbeolata
Gymnoscelis rufifasciata
Hypera rumicis
Chortodes minima
Dixella aestivalis
Chortodes pygmina
Vallonia excentrica
Hypera suspiciosa
Centrolabrus exoletus
Forficula auricularia
Neozephyrus quercus
Hypera viciae
Dermestes szekessyi
Hypera ziolus
Vallonia pulchella
Sphaerophoria batava
Eutrigla gurnardus
Orsodacne cerasi
Sphaerophoria interrupta
Coregonus albula
Homaspis nitidus
Protaphorura armata
Stenocorus meridianus
Sphaerophoria philantha
Nuculoma tenuis
Protaphorura bicampata
Sphaerophoria scripta
Gobio gobio
Sphaerophoria taeniata
Sphaerophoria virgata
Tipula unca
Nepa cinerea
Gymnosoma clavatum
Linyphia hortensis
Nudaria mundana
Protaphorura duplopunctata
Palaemonetes varians
Gymnosoma nudifrons
Coregonus lavaretus
Teuchophorus spinigerellus
Zelleria hepariella
Linyphia triangularis
Dacrila fallax
Nannoniscus oblongus
Anabolia brevipennis
Pseudamussium bruei
Anabolia laevis
Anabolia nervosa
Paraphoxus oculatus
Bibloplectus ambiguus
Pseudamussium peslutrae
Pseudamussium septemradiatum
Echinus elegans
Pseudamussium sulcatum
Echinus esculentus
Stenocranus minutus
Medina collaris
Centrolophus niger
Bibloporus bicolor
Pediopsis tiliae
Protaphorura procampata
Phascolion strombus
Bibloporus minutus
Nudobius lentus
Formica fusca
Acritus nigricornis
Corella parallelogramma
Anacaena globulus
Enipo kinbergi
Gelochelidon nilotica
Centromerita bicolor
Centromerita concinna
Brachyopa testacea
Anacaena limbata
Anacaena lutescens
Trichoniscus pusillus
Centromerus arcanus
Acrobasis advenella
Liocarcinus depurator
Formica lemani
Liocarcinus holsatus
Trichoniscus pygmaeus
Centromerus dilutus
Dacrydium ockelmanni
Coremacera marginata
Scythropia crataegella
Nannorhynchus herdlaensis
Acrobasis consociella
Centromerus incillium
Bicellaria austriaca
Gyrodactylus arcuatus
Dacrydium vitreum
Bicellaria intermedia
Acrobasis marmorea
Bicellaria nigra
Plecotus auritus
Bicellaria nigrita
Byrsophlebs graffi
Bicellaria pilosa
Bicellaria sulcata
Bicellaria vana
Acrobasis repandana
Acrobasis sodalella
Ragas unica
Formica polyctena
Formica pratensis
Hypercallia citrinalis
Trichonta atricauda
Formica rufa
Omphiscola glabra
Brachypalpoides lentus
Trichonta comica
Trichonta comis
Trichonta delicata
Tipula varipennis
Trichonta facilis
Numenius arquata
Trichonta fissicauda
Trichonta flavicauda
Brachypalpus laphriformis
Balanus balanoides
Trichonta hamata
Zelotes latreilli
Balanus balanus
Stenodema calcarata
Stenodema calcaratum
Protapion apricans
Trichonta melanura
Stenodema holsata
Stenodema holsatum
Numenius phaeopus
Stenodema laevigata
Centronotus gunnellus
Stenodema laevigatum
Balanus crenatus
Milneedwardsia loveni
Trichonta subfusca
Trichonta submaculata
Stenodema trispinosum
Trichonta terminalis
Stenodema virens
Tipula variipennis
Trichonta venosa
Anthaxia godeti
Trichonta vitta
Trichonta vulcani
Trichonta vulgaris
Malacosoma castrensis
Anacampsis blattariella
Lycodes esmarkii
Heterocerus flexuosus
Petromyzon marinus
Heterocerus fusculus
Centropages hamatus
Heterocerus intermedius
Phonorhynchus helgolandicus
Liocola marmorata
Centropages typicus
Brachypeza bisignata
Tipula excisa
Anacampsis populella
Clausinella fasciata
Heterocerus obsoletus
Lema cyanella
Tipula montana
Tipula nubeculosa
Labrus bergylta
Anacampsis temerella
Tipula scripta
Labrus bimaculatus
Anthaxia morio
Heinemannia laspeyrella
Liocoris tripustulatus
Acrocephalus aedon
Acrocephalus agricola
Acrocephalus arundinaceus
Labrus mixtus
Sycon raphanus
Labrus ossifagus
Anthaxia quadripunctata
Aloconota currax
Aloconota eichhoffi
Aloconota gregaria
Aloconota insecta
Aloconota planifrons
Aloconota strandi
Aloconota subgrandis
Aloconota sulcifrons
Acrocephalus dumetorum
Plectocarpon encausticum
Liocyrtusa minuta
Anthaxia similis
Dryophilus pusillus
Nanogona polydesmoides
Colletes cunicularius
Clava multicornis
Labulla thoracica
Orthetrum cancellatum
Clava squamata
Monocelis fusca
Deroceras agreste
Acrocephalus paludicola
Acrocephalus palustris
Orthetrum coerulescens
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Deroceras laeve
Euura mucronata
Balcis alba
Petrophora chlorosata
Praestigia duffeyi
Dimophyes arctica
Deroceras reticulatum
Munida rugosa
Gobius microps
Leptostylis longimana
Leptostylis macrura
Gobius minutus
Balcis macrophtalmica
Valvata cristata
Leptostylis villosa
Gobius niger
Catoplatus fabricii
Homoeosoma nimbella
Chroicocephalus ridibundus
Parapleustes pulchellus
Pseudanurophorus alticola
Onchidoris muricata
Pseudanurophorus binoculatus
Pseudanurophorus inoculatus
Gobius paganellus
Agathidium arcticum
Anania funebris
Agathidium atrum
Agathidium badium
Trichophaga scandinaviella
Onchnesoma squamatum
Agathidium bicolor
Onchnesoma steenstrupi
Trichophaga tapetzella
Onchnesoma steenstrupii
Agathidium confusum
Mediomastus fragilis
Agathidium discoideum
Liogluta alpestris
Liogluta granigera
Liogluta letzneri
Liogluta micans
Liogluta microptera
Abax parallelepipedus
Calodera nigrita
Rhinoncus bruchoides
Agathidium laevigatum
Hylobius piceus
Sphaerosoma pilosum
Balclutha punctata
Acrocercops brongniardella
Nanophyes marmoratus
Allantus basalis
Agathidium marginatum
Agathidium nigrinum
Agathidium nigripenne
Rhinoncus inconspectus
Lypha dubia
Agathidium pallidum
Xystophora pulveratella
Agathidium pisanum
Rhinoncus pericarpius
Rhinoncus perpendicularius
Agathidium rotundatum
Agathidium seminulum
Gobiusculus flavescens
Anania terrealis
Rhinonemus cimbrius
Agathidium varians
Milvus migrans
Helcion pellucidum
Lacanobia contigua
Wormaldia occipitalis
Milvus milvus
Hydroporus erythrocephalus
Deronectes latus
Lacanobia oleracea
Turbonilla fulvocincta
Ennearthron cornutum
Ennearthron laricinum
Lacanobia suasa
Lacanobia thalassina
Eupithecia succenturiata
Abdera affinis
Criocoris quadrimaculatus
Abdera flexuosa
Abdera triguttata
Mimachlamys varia
Hilara intermedia
Balea perversa
Pseudarachna hirsuta
Trichophya pilicornis
Ennomos alniaria
Ennomos autumnaria
Hydroporus fuscipennis
Ennomos erosaria
Ennomos fuscantaria
Ennomos quercinaria
Pseudarchaster parelii
Euxoa adumbrata
Ennucula corticata
Orthotelia sparganella
Eupithecia tenuiata
Ennucula tenuis
Trivia arctica
Pseudargyrotoza conwagana
Pasiphila chloerata
Euglenes oculatus
Euglenes pygmaeus
Arvicola amphibius
Turbonilla rufa
Turbonilla rufescens
Mimas tiliae
Parapoynx stratiotata
Helcystogramma lineolella
Nephanes titan
Criorhina asilica
Arvicola terrestris
Centroptilum luteolum
Cythereis dunelmensis
Euxoa cursoria
Heterocope appendiculata
Brachyposthia cuticulata
Heterocope saliens
Anser caerulescens
Schoenobius gigantella
Enochrus affinis
Enochrus bicolor
Sphaeridium scarabaeoides
Enochrus coarctatus
Coreus marginatus
Euxoa eruta
Cythereis mirabilis
Brachyprion compressa
Hoplomachus thunbergi
Enochrus fuscipennis
Laccobius bipunctatus
Luidia sarsi
Luidia sarsii
Enochrus melanocephalus
Leptosynapta inhaerens
Atelestus pulicarius
Helophorus obscurus
Enochrus ochropterus
Laccobius minutus
Brachyptera risi
Tanaopsis gracilioides
Enochrus testaceus
Sphaerosyllis hystrix
Laccobius sinuatus
Wahlia macrostylifera
Anaclileia dispar
Laccobius striatulus
Campylaspis costata
Orthocephalus coriaceus
Coriarachne depressa
Brachypterolus lineariae
Orthocephalus saltator
Mesocyclops leuckarti
Brachypterolus pulicarius
Pseudatemelia elsae
Pseudatemelia flavifrontella
Sphaerosyllis tetralix
Pseudatemelia josephinae
Euxoa nigricans
Liomesus ovum
Aphodius contaminatus
Scutisotoma armeriae
Heterocyprideis sorbyana
Stenolechia gemmella
Euxoa obelisca
Brachypterus glaber
Marpissa muscosa
Crisidia cornuta
Brachypterus urticae
Bythotrephes longimanus
Phytosus balticus
Abia aenea
Lagenorhynchus albirostris
Lullula arborea
Abia candens
Abia fasciata
Abia sericea
Euxoa recussa
Prasocuris phellandrii
Laccophilus biguttatus
Dinaraea aequata
Phorbas dendyi
Dinaraea angustula
Erignathus barbatus
Dinaraea linearis
Dinarda dentata
Dinarda hagensii
Hydroporus melanarius
Erigone arctica
Erigone atra
Laccophilus hyalinus
Orthocerus clavicornis
Ecinocucumis hispida
Zercon zelawaiensis
Muellerina abyssicola
Descarpentriesina variolosa
Euxoa tritici
Laccophilus minutus
Enoplognatha intrepida
Enoplognatha ovata
Textrix denticulata
Erigone maritima
Hydroporus neglectus
Pinalitus cervinus
Erigone psychrophila
Pinalitus rubricatus
Mugga wahrbergi
Erigone tirolensis
Walckenaeria acuminata
Lumbricillus murmanicus
Walckenaeria antica
Dorvillia rubrovittata
Erigone whymperi
Lumbricillus rubidus
Ballistura borealis
Megabunus diadema
Erigonella hiemalis
Lumbricillus semifuscus
Orthocis alni
Leptothorax acervorum
Orthocis festivus
Orthocis linearis
Lumbriclymene cylindricaudata
Walckenaeria cucullata
Walckenaeria cuspidata
Trichopsomyia flavitarsis
Asaphidion pallipes
Orthocis vestitus
Walckenaeria dysderoides
Mughiphantes whymperi
Aphodius distinctus
Byturus ochraceus
Lumbriconereis fragilis
Byturus tomentosus
Byturus tometosus
Eugnorisma depuncta
Cristatella mucedo
Rhinusa anthirrhini
Eugnorisma glareosa
Walckenaeria nudipalpis
Graptoleberis testudinaria
Vanellus leucurus
Dactylocotyle denticulata
Turdus iliacus
Walckenaeria unicornis
Eulithis testata
Clavelina lepadiformis
Lumbriculus variegatus
Sphaerotylus capitatus
Gynnidomorpha minimana
Gynnidomorpha vectisana
Absidia schoenherri
Euzophera cinerosella
Vanellus vanellus
Polygonia c-album
Vanessa atalanta
Goethemia elegantula
Euzophera pinguis
Lumbricus terrestris
Campylaspis verrucosa
Collinsia holmgreni
Idiocerus herrichii
Leptothorax nylanderi
Hydroporus palustris
Turdus merula
Vanessa cardui
Asaphus expansus
Centrotus cornutus
Larus marinus
Evacanthus acuminatus
Turdus musicus
Turdus naumanni
Evacanthus interruptus
Collinsia spetsbergensis
Leptothorax tuberum
Lumbrineris anaria
Pterolepis nitidus
Pararaphistoma schmidti
Turdus obscurus
Liophloeus tessulatus
Eugraphe sigma
Aphodius erraticus
Trichopterna mengei
Dinera carinifrons
Erinaceus europaeus
Dinera ferina
Lumbrineris fragilis
Dinera grisecens
Lumbrineris gracilis
Nyctalus noctula
Trichopteryx carpinata
Ecliptopera capitata
Jaera albifrons
Mesogona oxalina
Turdus philomelos
Pararctia lapponica
Turdus pilaris
Lumbrineris latreilli
Dineura testaceipes
Ecliptopera silaceata
Dineura virididorsata
Lumbrineris magnidenta
Lumbrineris magnidentata
Nyctea scandiaca
Lumbrineris mixochaeta
Eugyra arenosa
Nyctegretis lineana
Collisella tessulata
Eclysippe vanelli
Trichopteryx polycommata
Lumbrineris scopa
Acupalpus flavicollis
Turdus ruficollis
Pteroloma forsstromii
Praunus flexuosus
Pararge aegeria
Ensis arcuatus
Turdus torquatus
Ensis directus
Cabera exanthemata
Ensis ensis
Turdus viscivorus
Chimarra marginata
Lumpenus lampetraeformis
Lumpenus lampretaeformis
Cabera pusaria
Lumpenus maculatus
Lumpenus medius
Cepaea hortensis
Alona affinis
Golfingia margaritacea
Athalia circularis
Caberea ellisii
Athalia cordata
Cepaea nemoralis
Athalia glabricollis
Alona costata
Spirontocaris spinus
Athalia lugens
Golfingia elongata
Praxillella affinis
Athalia rosae
Athalia scutellariae
Alona guttata
Heterogaspis giganteus
Heterogaspis minutus
Acrolepiopsis assectella
Alona intermedia
Acrolepiopsis betulella
Praxillura longissima
Claviger testaceus
Nycteola asiatica
Golfingia nephasoma
Nycteola degenerana
Proales fallaciosa
Heterogenea asella
Alona quadrangularis
Alona rectangula
Alona rustica
Brachysomus echinatus
Nycteola revayana
Nymphon hirtipes
Uria aalge
Nycteola svecicus
Araneus quadratus
Lacerta vivipara
Orthotomicus suturalis
Alonella excisa
Sciaphilus asperatus
Alonella exigua
Alonella nana
Prays fraxinella
Evarcha falcata
Alonopsis elongata
Abietinaria abietina
Eriocampa ovata
Eriocampa umbratica
Euheptaulacus villosus
Lunatia alderi
Entalina quinquangularis
Entalina tetragona
Dinocheirus panzeri
Phoronis hippocrepia
Lunatia montagui
Phoronis muelleri
Lunatia poliana
Acroloxus lacustris
Asbestopluma pennatula
Biemna variantia
Megachile centuncularis
Alopecosa barbipes
Alopecosa cuneata
Ortholepis betulae
Crocallis elinguaria
Ortholepis vacciniella
Pexicopia malvella
Dinocras cephalotes
Zeugophora scutellaris
Zeugophora subspinosa
Zeugophora turneri
Schoettella ununguiculata
Alopecosa pinetorum
Alopecosa pulverulenta
Zeugopterus punctatus
Cytheropteron alatum
Plectrocnemia conspersa
Mesoligia furuncula
Ortholomus punctipennis
Antherophagus nigricornis
Zeus faber
Mesoligia literosa
Corixa dentipes
Antherophagus pallens
Cytheropteron bronwynae
Cymus glandicolor
Corixa punctata
Euhyponomeuta stannella
Euhyponomeutoides albithoracellus
Euhyponomeutoides ribesiella
Phorytocarpais fimetorum
Erigone dentipalpis
Baltoeurypterus tetragonophthalmus
Corizus hyoscyami
Heterolaophonte littoralis
Macropipus depurator
Heterolaophonte longisetigera
Clavularia arctica
Parasagitta elegans
Hydroprogne caspia
Trichotria tetractis
Tischeria dodonaea
Tischeria ekebladella
Pennisetia hylaeiformis
Platurocypta testata
Subclytia rotundiventris
